filename,width,height,class,xmin,ymin,xmax,ymax

132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,paddy,167,0,229,37
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,paddy,575,562,637,636
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,paddy,232,0,436,107
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,paddy,424,21,637,248
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,paddy,160,434,569,598
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,other_crop,0,0,93,41
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,other_crop,0,50,77,178
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,1,49,273,355
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,284,128,637,326
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,0,388,145,636
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,281,326,569,434
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,572,347,637,557
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,dry_farming,268,599,568,636
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,other_crop,40,512,241,636
132_jpg.rf.0907fa5cd2e99ee246cb8fbbd9591c17.jpg,640,640,mix_Wood_Land,575,0,637,99
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,paddy,210,0,260,87
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,paddy,167,0,210,178
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,dry_farming,331,0,637,231
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,other_crop,53,0,170,190
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,mix_Wood_Land,584,78,637,636
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,mix_Wood_Land,145,475,226,636
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,mix_Wood_Land,229,310,433,636
62_jpg.rf.7a08ba8426e4b34bb41e849e58c7924a.jpg,640,640,mix_Wood_Land,0,21,65,318
31_jpg.rf.bb5a8229a78f2fbedb08b93349b58a29.jpg,640,640,paddy,0,0,83,471
31_jpg.rf.bb5a8229a78f2fbedb08b93349b58a29.jpg,640,640,paddy,0,504,53,636
